timestamp,session_id,caller,model,prompt_tokens,completion_tokens,total_tokens,cost_usd
2026-04-14T05:26:51.933754+00:00,64a483896852490b8a82e638652689c6,intent_classifier,gpt-4.1-mini,273,2,275,0.00011240
2026-04-14T05:26:52.337906+00:00,64a483896852490b8a82e638652689c6,fact_extractor,gpt-4.1-mini,290,54,344,0.00020240
2026-04-14T05:27:00.166221+00:00,64a483896852490b8a82e638652689c6,clinical_reasoner,gpt-4.1-mini,282,407,689,0.00076400
2026-04-14T05:27:01.130829+00:00,64a483896852490b8a82e638652689c6,response_generator,gpt-4.1-mini,141,24,165,0.00009480
2026-04-14T05:27:02.322936+00:00,64a483896852490b8a82e638652689c6,safety.escalation_check,gpt-4.1-mini,91,27,118,0.00007960
2026-04-14T05:27:28.303129+00:00,64a483896852490b8a82e638652689c6,intent_classifier,gpt-4.1-mini,266,2,268,0.00010960
2026-04-14T05:27:28.531325+00:00,64a483896852490b8a82e638652689c6,fact_extractor,gpt-4.1-mini,287,31,318,0.00016440
2026-04-14T05:27:33.067234+00:00,64a483896852490b8a82e638652689c6,clinical_reasoner,gpt-4.1-mini,330,408,738,0.00078480
2026-04-14T05:27:34.758815+00:00,64a483896852490b8a82e638652689c6,response_generator,gpt-4.1-mini,164,31,195,0.00011520
2026-04-14T05:27:36.074952+00:00,64a483896852490b8a82e638652689c6,safety.escalation_check,gpt-4.1-mini,83,23,106,0.00007000
2026-04-14T05:28:02.018800+00:00,64a483896852490b8a82e638652689c6,intent_classifier,gpt-4.1-mini,273,2,275,0.00011240
2026-04-14T05:28:03.000163+00:00,64a483896852490b8a82e638652689c6,fact_extractor,gpt-4.1-mini,294,84,378,0.00025200
2026-04-14T05:28:09.569189+00:00,64a483896852490b8a82e638652689c6,clinical_reasoner,gpt-4.1-mini,387,422,809,0.00083000
2026-04-14T05:28:10.388369+00:00,64a483896852490b8a82e638652689c6,response_generator,gpt-4.1-mini,170,37,207,0.00012720
